user_variable,user_description,matched_text,uid,relevance_score
age_at_weight_baseline,age at measurement of weight_baseline (years) (HARMONIZED),AGE AT BASELINE,16529,0.5809465
annotated_sex,"Subject sex, as recorded by the study. (HARMONIZED)",SEX OF SUBJECT,211860,0.8147908
annotated_sex,"Subject sex, as recorded by the study. (HARMONIZED)",SUBJECTS SEX,226588,0.7243831
annotated_sex,"Subject sex, as recorded by the study. (HARMONIZED)",GENDER (RECORDED AND USED BY BLOCK),103087,0.15190639
bmi_baseline,Body mass index calculated at baseline. (kg/m^2) (HARMONIZED),BODY MASS INDEX AT BASELINE,35519,0.9860443
bmi_baseline,Body mass index calculated at baseline. (kg/m^2) (HARMONIZED),BASELINE BODY MASS INDEX (KG/M SQRD),31003,0.9757161
bmi_baseline,Body mass index calculated at baseline. (kg/m^2) (HARMONIZED),BODY MASS INDEX (KG/M^2),35505,0.89805347
ethnicity,"An individual's self-described social and cultural grouping, specifically whether an individual describes themselves as Hispanic or Latino (HARMONIZED). The provided values are based on the categories defined by the U.S. Office of Management and Business and used by the U.S. Census Bureau.",ETHNICITY - HISPANIC OR LATINO,83708,0.37616467
ethnicity,"An individual's self-described social and cultural grouping, specifically whether an individual describes themselves as Hispanic or Latino (HARMONIZED). The provided values are based on the categories defined by the U.S. Office of Management and Business and used by the U.S. Census Bureau.",ETHNICITY (HISPANIC OR LATINO),83705,0.34886694
ethnicity,"An individual's self-described social and cultural grouping, specifically whether an individual describes themselves as Hispanic or Latino (HARMONIZED). The provided values are based on the categories defined by the U.S. Office of Management and Business and used by the U.S. Census Bureau.",RACE/ETHNICITY: HISPANIC OR LATINO,193982,0.2979804
height_baseline,Body height at baseline. (cm) (HARMONIZED),BASELINE HEIGHT (CM),31275,0.9514138
height_baseline,Body height at baseline. (cm) (HARMONIZED),ADULT 1 HEIGHT (CM) AT BASELINE,14907,0.9449947
height_baseline,Body height at baseline. (cm) (HARMONIZED),ADULT 2 HEIGHT (CM) AT BASELINE,15021,0.9269676
hispanic_subgroup,classification of Hispanic/Latino background for Hispanic/Latino subjects where country or region of origin information is available (HARMONIZED),7-LEVEL RE-CLASSIFICATION OF HISPANIC/LATINO BACKGROUND,10011,0.88059187
hispanic_subgroup,classification of Hispanic/Latino background for Hispanic/Latino subjects where country or region of origin information is available (HARMONIZED),CROSS-CLASSIFICATION OF CENTER AND HISPANIC/LATINO BACKGROUND,55433,0.7164171
hispanic_subgroup,classification of Hispanic/Latino background for Hispanic/Latino subjects where country or region of origin information is available (HARMONIZED),"CROSS-CLASSIFICATION OF CENTER AND HISPANIC LATINO BACKGROUND, 45+ YEARS ONLY",55432,0.5832627
population,"CHB Han Chinese in Beijing, China EAS; JPT Japanese in Tokyo, Japan EAS; CHS Southern Han Chinese EAS; CDX Chinese Dai in Xishuangbanna, China EAS; KHV Kinh in Ho Chi Minh City, Vietnam EAS; CEU Utah Residents (CEPH) with Northern and Western European Ancestry EUR; TSI Toscani in Italia EUR; FIN Finnish in Finland EUR; GBR British in England and Scotland EUR; IBS Iberian Population in Spain EUR; YRI Yoruba in Ibadan, Nigeria AFR; LWK Luhya in Webuye, Kenya AFR; GWD Gambian in Western Divisions in the Gambia AFR; MSL Mende in Sierra Leone AFR; ESN Esan in Nigeria AFR; ASW Americans of African Ancestry in SW USA AFR; ACB African Caribbeans in Barbados AFR; MXL Mexican Ancestry from Los Angeles USA AMR; PUR Puerto Ricans from Puerto Rico AMR; CLM Colombians from Medellin, Colombia AMR; PEL Peruvians from Lima, Peru AMR; GIH Gujarati Indian from Houston, Texas SAS; PJL Punjabi from Lahore, Pakistan SAS; BEB Bengali from Bangladesh SAS; STU Sri Lankan Tamil from the UK SAS; ITU Indian Telugu from the UK","RACE/ETHNICITY: ASIAN, NAT AM SET TO OTHER (6)",193981,0.9652504
population,"CHB Han Chinese in Beijing, China EAS; JPT Japanese in Tokyo, Japan EAS; CHS Southern Han Chinese EAS; CDX Chinese Dai in Xishuangbanna, China EAS; KHV Kinh in Ho Chi Minh City, Vietnam EAS; CEU Utah Residents (CEPH) with Northern and Western European Ancestry EUR; TSI Toscani in Italia EUR; FIN Finnish in Finland EUR; GBR British in England and Scotland EUR; IBS Iberian Population in Spain EUR; YRI Yoruba in Ibadan, Nigeria AFR; LWK Luhya in Webuye, Kenya AFR; GWD Gambian in Western Divisions in the Gambia AFR; MSL Mende in Sierra Leone AFR; ESN Esan in Nigeria AFR; ASW Americans of African Ancestry in SW USA AFR; ACB African Caribbeans in Barbados AFR; MXL Mexican Ancestry from Los Angeles USA AMR; PUR Puerto Ricans from Puerto Rico AMR; CLM Colombians from Medellin, Colombia AMR; PEL Peruvians from Lima, Peru AMR; GIH Gujarati Indian from Houston, Texas SAS; PJL Punjabi from Lahore, Pakistan SAS; BEB Bengali from Bangladesh SAS; STU Sri Lankan Tamil from the UK SAS; ITU Indian Telugu from the UK",RACE/ETHNICITY: ASIAN,193980,0.9652504
population,"CHB Han Chinese in Beijing, China EAS; JPT Japanese in Tokyo, Japan EAS; CHS Southern Han Chinese EAS; CDX Chinese Dai in Xishuangbanna, China EAS; KHV Kinh in Ho Chi Minh City, Vietnam EAS; CEU Utah Residents (CEPH) with Northern and Western European Ancestry EUR; TSI Toscani in Italia EUR; FIN Finnish in Finland EUR; GBR British in England and Scotland EUR; IBS Iberian Population in Spain EUR; YRI Yoruba in Ibadan, Nigeria AFR; LWK Luhya in Webuye, Kenya AFR; GWD Gambian in Western Divisions in the Gambia AFR; MSL Mende in Sierra Leone AFR; ESN Esan in Nigeria AFR; ASW Americans of African Ancestry in SW USA AFR; ACB African Caribbeans in Barbados AFR; MXL Mexican Ancestry from Los Angeles USA AMR; PUR Puerto Ricans from Puerto Rico AMR; CLM Colombians from Medellin, Colombia AMR; PEL Peruvians from Lima, Peru AMR; GIH Gujarati Indian from Houston, Texas SAS; PJL Punjabi from Lahore, Pakistan SAS; BEB Bengali from Bangladesh SAS; STU Sri Lankan Tamil from the UK SAS; ITU Indian Telugu from the UK",PRE-HOSPITAL RACE/ETHNICITY: ASIAN,185451,0.95687664
race,"Harmonized race category of participant. Acceptable values: white,american indian or alaska native,black or african american,asian,native hawaiian or other pacific islander,hispanic,multiple,other,Unknown,not reported,not allowed to collect (HARMONIZED)",PARTICIPANT'S RACE (1=HISPANIC 2=ASIAN/PACIFIC ISLANDER 3=AFRICAN AMERICAN 4=CAUCASIAN 5=OTHER),177240,0.82290184
race,"Harmonized race category of participant. Acceptable values: white,american indian or alaska native,black or african american,asian,native hawaiian or other pacific islander,hispanic,multiple,other,Unknown,not reported,not allowed to collect (HARMONIZED)","RACE: AMERICAN INDIAN/ALASKAN NATIVE, ASIAN, OR NATIVE HAWAI'IAN/OTHER PACIFIC ISLANDER",193999,0.4029206
race,"Harmonized race category of participant. Acceptable values: white,american indian or alaska native,black or african american,asian,native hawaiian or other pacific islander,hispanic,multiple,other,Unknown,not reported,not allowed to collect (HARMONIZED)","RACE (1 WHITE, 2 BLACK, 3 AMER INDIAN/ALASKAN NATIVE, 4 ASIAN/PACIFIC ISLANDER)",193818,0.38856003
subcohort,"A distinct subgroup within a study, generally indicating subjects who share similar characteristics due to study design. Subjects may belong to only one subcohort. (HARMONIZED)",SUB-COHORT GROUP,226135,0.9468921
subcohort,"A distinct subgroup within a study, generally indicating subjects who share similar characteristics due to study design. Subjects may belong to only one subcohort. (HARMONIZED)",SUBGROUP,226252,0.82544905
subcohort,"A distinct subgroup within a study, generally indicating subjects who share similar characteristics due to study design. Subjects may belong to only one subcohort. (HARMONIZED)",STUDY COHORT,225347,0.761893
unit_annotated_sex,"harmonization unit for annotated_sex (A ""harmonization unit"" is a defined group of subjects whose phenotypes can be similarly processed.) (HARMONIZED)",OBSERVATION UNIT,166998,0.9743373
unit_annotated_sex,"harmonization unit for annotated_sex (A ""harmonization unit"" is a defined group of subjects whose phenotypes can be similarly processed.) (HARMONIZED)",PHENOTYPE,181522,0.96544635
unit_annotated_sex,"harmonization unit for annotated_sex (A ""harmonization unit"" is a defined group of subjects whose phenotypes can be similarly processed.) (HARMONIZED)",UNITS,243044,0.9649213
unit_bmi_baseline,"harmonization unit for bmi_baseline (A ""harmonization unit"" is a defined group of subjects whose phenotypes can be similarly processed.) (HARMONIZED)",BASELINE BODY MASS INDEX,31001,0.9904406
unit_bmi_baseline,"harmonization unit for bmi_baseline (A ""harmonization unit"" is a defined group of subjects whose phenotypes can be similarly processed.) (HARMONIZED)","BMI (COMPUTED BY SC FROM METRIC UNITS) (FROM ANT02,ANT03) AT BASELINE",35268,0.9886244
unit_bmi_baseline,"harmonization unit for bmi_baseline (A ""harmonization unit"" is a defined group of subjects whose phenotypes can be similarly processed.) (HARMONIZED)","BMI (COMPUTED BY SC FROM IMPERIAL UNITS) (FROM IEC05A,B AT BASELINE)",35264,0.98761624
unit_ethnicity,"harmonization unit for ethnicity (A ""harmonization unit"" is a defined group of subjects whose phenotypes can be similarly processed.) (HARMONIZED)",OBSERVATION UNIT,166998,0.9829547
unit_ethnicity,"harmonization unit for ethnicity (A ""harmonization unit"" is a defined group of subjects whose phenotypes can be similarly processed.) (HARMONIZED)",UNITS,243044,0.9824231
unit_ethnicity,"harmonization unit for ethnicity (A ""harmonization unit"" is a defined group of subjects whose phenotypes can be similarly processed.) (HARMONIZED)",2.F HOMOGENEITY,6683,0.98076576
unit_height_baseline,"harmonization unit for height_baseline (A ""harmonization unit"" is a defined group of subjects whose phenotypes can be similarly processed.) (HARMONIZED)",HEIGHTUNIT,110384,0.9759464
unit_height_baseline,"harmonization unit for height_baseline (A ""harmonization unit"" is a defined group of subjects whose phenotypes can be similarly processed.) (HARMONIZED)",HEIGHT (UNIT),110222,0.9743861
unit_height_baseline,"harmonization unit for height_baseline (A ""harmonization unit"" is a defined group of subjects whose phenotypes can be similarly processed.) (HARMONIZED)",UNIT OF MEASUREMENT,243002,0.92749476
unit_hispanic_subgroup,"harmonization unit for hispanic_subgroup (A ""harmonization unit"" is a defined group of subjects whose phenotypes can be similarly processed.) (HARMONIZED)",HISPANIC ETHNICITY,112232,0.9947187
unit_hispanic_subgroup,"harmonization unit for hispanic_subgroup (A ""harmonization unit"" is a defined group of subjects whose phenotypes can be similarly processed.) (HARMONIZED)",HISPANIC,112230,0.9935369
unit_hispanic_subgroup,"harmonization unit for hispanic_subgroup (A ""harmonization unit"" is a defined group of subjects whose phenotypes can be similarly processed.) (HARMONIZED)",UNITS,243044,0.9658352
unit_race,"harmonization unit for race (A ""harmonization unit"" is a defined group of subjects whose phenotypes can be similarly processed.) (HARMONIZED)",RACE (RECODED TO HARMONIZE RESPONSES ACROSS CENTERS),193857,0.9980657
unit_race,"harmonization unit for race (A ""harmonization unit"" is a defined group of subjects whose phenotypes can be similarly processed.) (HARMONIZED)",SUBJECT RACE,226484,0.9955316
unit_race,"harmonization unit for race (A ""harmonization unit"" is a defined group of subjects whose phenotypes can be similarly processed.) (HARMONIZED)",OBSERVATION UNIT,166998,0.98609793
unit_subcohort,"harmonization unit for subcohort (A ""harmonization unit"" is a defined group of subjects whose phenotypes can be similarly processed.) (HARMONIZED)",SUB-COHORT GROUP,226135,0.9991639
unit_subcohort,"harmonization unit for subcohort (A ""harmonization unit"" is a defined group of subjects whose phenotypes can be similarly processed.) (HARMONIZED)",COHORT,50402,0.99455196
unit_subcohort,"harmonization unit for subcohort (A ""harmonization unit"" is a defined group of subjects whose phenotypes can be similarly processed.) (HARMONIZED)",UNITS,243044,0.98747206
unit_weight_baseline,"harmonization unit for weight_baseline (A ""harmonization unit"" is a defined group of subjects whose phenotypes can be similarly processed.) (HARMONIZED)",WEIGHT (UNIT),253457,0.97354424
unit_weight_baseline,"harmonization unit for weight_baseline (A ""harmonization unit"" is a defined group of subjects whose phenotypes can be similarly processed.) (HARMONIZED)",WEIGHT UNITS,253773,0.95799094
unit_weight_baseline,"harmonization unit for weight_baseline (A ""harmonization unit"" is a defined group of subjects whose phenotypes can be similarly processed.) (HARMONIZED)",OBSERVATION UNIT,166998,0.9222025
weight,Body weight at baseline. (kg) (HARMONIZED).,WEIGHT (KG) AT BASELINE,253391,0.96628344
weight,Body weight at baseline. (kg) (HARMONIZED).,WEIGHT AT BASELINE (KG),253501,0.961678
weight,Body weight at baseline. (kg) (HARMONIZED).,BASELINE WEIGHT (KG),31737,0.9431385
weight_baseline,Body weight at baseline. (kg) (HARMONIZED),WEIGHT (KG) AT BASELINE,253391,0.9719925
weight_baseline,Body weight at baseline. (kg) (HARMONIZED),WEIGHT AT BASELINE (KG),253501,0.9644556
weight_baseline,Body weight at baseline. (kg) (HARMONIZED),BASELINE WEIGHT (KG),31737,0.95022655
age_at_basophil_ncnc_bld,age at measurement of basophil_ncnc_bld (years) (HARMONIZED),AGE AT MEASUREMENT,16680,0.15291561
age_at_basophil_ncnc_bld,age at measurement of basophil_ncnc_bld (years) (HARMONIZED),AGE AT MEASUREMENT (MBCA2-DSRA4)/365.25),16681,0.07172112
age_at_basophil_ncnc_bld,age at measurement of basophil_ncnc_bld (years) (HARMONIZED),AGE AT BASELINE (YEARS),16530,0.05350215
age_at_eosinophil_ncnc_bld,age at measurement of eosinophil_ncnc_bld (years) (HARMONIZED),AGE AT MEASUREMENT,16680,0.09203286
age_at_eosinophil_ncnc_bld,age at measurement of eosinophil_ncnc_bld (years) (HARMONIZED),9E EOSINOPHILS (%),10711,0.027117657
age_at_eosinophil_ncnc_bld,age at measurement of eosinophil_ncnc_bld (years) (HARMONIZED),"TOTAL EOSINOPHIL COUNT, CELLS/MICROLITER",237142,0.025468083
age_at_hdl,age at measurement of hdl (years) (HARMONIZED),HDL CHOLESTEROL 6 YEARS,108735,0.7077078
age_at_hdl,age at measurement of hdl (years) (HARMONIZED),HDL CHOLESTEROL (MG/DL) AT YEAR 1,108717,0.46660253
age_at_hdl,age at measurement of hdl (years) (HARMONIZED),HDL CHOLESTEROL (MG/DL) AT YEAR 2,108718,0.4434799
age_at_hematocrit_vfr_bld,"Measurement of hematocrit, the fraction of volume (vfr) of blood (bld) that is composed of red blood cells. (years) (HARMONIZED)",HEMATOCRIT (% RED BLOOD CELLS IN WHOLE BLOOD),110470,0.87976795
age_at_hematocrit_vfr_bld,"Measurement of hematocrit, the fraction of volume (vfr) of blood (bld) that is composed of red blood cells. (years) (HARMONIZED)",BLOOD ANALYSIS: HEMATOCRIT,34250,0.85800624
age_at_hematocrit_vfr_bld,"Measurement of hematocrit, the fraction of volume (vfr) of blood (bld) that is composed of red blood cells. (years) (HARMONIZED)",HEMATOCRIT (HCT %),110481,0.8458151
age_at_hemoglobin_mcnc_bld,age at measurement of hemoglobin_mcnc_bld. (years) (HARMONIZED),AGE AT MEASUREMENT,16680,0.16762705
age_at_hemoglobin_mcnc_bld,age at measurement of hemoglobin_mcnc_bld. (years) (HARMONIZED),DAYS TO DATE OF HGB MEASUREMENT,66283,0.12485182
age_at_hemoglobin_mcnc_bld,age at measurement of hemoglobin_mcnc_bld. (years) (HARMONIZED),AGE AT MEASUREMENT (MBCA2-DSRA4)/365.25),16681,0.07751766
age_at_ldl,age at measurement of ldl (years) (HARMONIZED),LDL CHOLESTEROL 6 YEARS,131933,0.6884684
age_at_ldl,age at measurement of ldl (years) (HARMONIZED),LDL-CHOLESTEROL (DERIVED) (MG/DL) AT YEAR 3,131973,0.53913486
age_at_ldl,age at measurement of ldl (years) (HARMONIZED),LDL-CHOLESTEROL (DERIVED) (MG/DL) AT YEAR 1,131971,0.48751327
age_at_lymphocyte_ncnc_bld,age at measurement of lymphocyte_ncnc_bld (years) (HARMONIZED),AGE AT BLOOD OR LYMPH CANCER,16534,0.035144847
age_at_lymphocyte_ncnc_bld,age at measurement of lymphocyte_ncnc_bld (years) (HARMONIZED),DATE OF LYMPHOCYTE COUNT (DATE TO DAYS),61268,0.031084951
age_at_lymphocyte_ncnc_bld,age at measurement of lymphocyte_ncnc_bld (years) (HARMONIZED),DAYS FROM RANDOMIZATION TO DATE OF LYMPHOCYTE COUNT,64945,0.01302049
age_at_mch_entmass_rbc,age at measurement of mch_entmass_rbc (years) (HARMONIZED),AGE AT MEASUREMENT,16680,0.19042274
age_at_mch_entmass_rbc,age at measurement of mch_entmass_rbc (years) (HARMONIZED),UNITS - MCHC,243063,0.1261379
age_at_mch_entmass_rbc,age at measurement of mch_entmass_rbc (years) (HARMONIZED),AGE AT MEASUREMENT (MBCA2-DSRA4)/365.25),16681,0.086632065
age_at_mchc_mcnc_rbc,age at measurement of mchc_mcnc_rbc (years) (HARMONIZED),UNITS - MCHC,243063,0.22236222
age_at_mchc_mcnc_rbc,age at measurement of mchc_mcnc_rbc (years) (HARMONIZED),AGE AT MEASUREMENT (MBCA2-DSRA4)/365.25),16681,0.15752527
age_at_mchc_mcnc_rbc,age at measurement of mchc_mcnc_rbc (years) (HARMONIZED),MCHC,142506,0.12527926
age_at_mcv_entvol_rbc,age at measurement of mcv_entvol_rbc (years) (HARMONIZED),MCV,142587,0.16559312
age_at_mcv_entvol_rbc,age at measurement of mcv_entvol_rbc (years) (HARMONIZED),AGE AT MEASUREMENT (MBCA2-DSRA4)/365.25),16681,0.104660206
age_at_mcv_entvol_rbc,age at measurement of mcv_entvol_rbc (years) (HARMONIZED),MEAN CELL VOLUME (MCV),143075,0.07793769
age_at_monocyte_ncnc_bld,age at measurement of monocyte_ncnc_bld (years) (HARMONIZED),AGE AT MEASUREMENT,16680,0.23144047
age_at_monocyte_ncnc_bld,age at measurement of monocyte_ncnc_bld (years) (HARMONIZED),AGE AT MEASUREMENT (MBCA2-DSRA4)/365.25),16681,0.1328517
age_at_monocyte_ncnc_bld,age at measurement of monocyte_ncnc_bld (years) (HARMONIZED),CD34P_AC133P_B1 PERIPHERAL BLOOD MEASURE AT BASELINE,44029,0.041230027
age_at_neutrophil_ncnc_bld,age at measurement of neutrophil_ncnc_bld (years) (HARMONIZED),AGE AT MEASUREMENT,16680,0.13788034
age_at_neutrophil_ncnc_bld,age at measurement of neutrophil_ncnc_bld (years) (HARMONIZED),ABSOLUTE NEUTROPHIL COUNT (ANC),12042,0.0921962
age_at_neutrophil_ncnc_bld,age at measurement of neutrophil_ncnc_bld (years) (HARMONIZED),II_3B ABSOLUTE NEUTROPHIL COUNT (ANC),121311,0.08093671
age_at_platelet_ncnc_bld,age at measurement of platelet_ncnc_bld (years) (HARMONIZED),DAYS TO DATE OF PLATELETS MEASUREMENT,66303,0.29421496
age_at_platelet_ncnc_bld,age at measurement of platelet_ncnc_bld (years) (HARMONIZED),AGE (YRS) RECVD A TRANSFUSION OF PLATELE,16419,0.28866935
age_at_platelet_ncnc_bld,age at measurement of platelet_ncnc_bld (years) (HARMONIZED),AGE AT MEASUREMENT,16680,0.17981844
age_at_pmv_entvol_bld,age at measurement of pmv_entvol_bld (years) (HARMONIZED),AGE AT MEASUREMENT,16680,0.19961987
age_at_pmv_entvol_bld,age at measurement of pmv_entvol_bld (years) (HARMONIZED),AGE AT MEASUREMENT (MBCA2-DSRA4)/365.25),16681,0.12940273
age_at_pmv_entvol_bld,age at measurement of pmv_entvol_bld (years) (HARMONIZED),YEAR OF MEASUREMENT,258930,0.034880888
age_at_rbc_ncnc_bld,age at measurement of rbc_ncnc_bld (years) (HARMONIZED),AGE AT MEASUREMENT,16680,0.23335676
age_at_rbc_ncnc_bld,age at measurement of rbc_ncnc_bld (years) (HARMONIZED),AGE AT MEASUREMENT (MBCA2-DSRA4)/365.25),16681,0.10248422
age_at_rbc_ncnc_bld,age at measurement of rbc_ncnc_bld (years) (HARMONIZED),RE91: B3A. AGE OF RBC PRODUCT,196115,0.06064055
age_at_rdw_ratio_rbc,age at measurement of rdw_ratio_rbc (years) (HARMONIZED),RDW (%),195309,0.20625381
age_at_rdw_ratio_rbc,age at measurement of rdw_ratio_rbc (years) (HARMONIZED),AGE AT MEASUREMENT (MBCA2-DSRA4)/365.25),16681,0.09170696
age_at_rdw_ratio_rbc,age at measurement of rdw_ratio_rbc (years) (HARMONIZED),RED CELL DISTRIBUTION WIDTH (RDW) (%),199505,0.05997644
age_at_total_cholesterol,age at measurement of total_cholesterol (years) (HARMONIZED),TOTAL CHOLESTEROL 6 YEARS,236863,0.5590192
age_at_total_cholesterol,age at measurement of total_cholesterol (years) (HARMONIZED),TOTAL CHOLESTEROL (MG/DL) AT YEAR 1,236845,0.5074343
age_at_total_cholesterol,age at measurement of total_cholesterol (years) (HARMONIZED),TOTAL CHOLESTEROL 2 YEARS,236861,0.40309682
age_at_triglycerides,age at measurement of triglycerides (HARMONIZED),AGE AT LIPID DETERMINATION,16674,0.2007143
age_at_triglycerides,age at measurement of triglycerides (HARMONIZED),AGE AT MEASUREMENT,16680,0.13986565
age_at_triglycerides,age at measurement of triglycerides (HARMONIZED),FASTING TRIGLYCERIDES (MG/DL),92884,0.013480103
age_at_wbc_ncnc_bld,age at measurement of wbc_ncnc_bld (years) (HARMONIZED),AGE AT MEASUREMENT,16680,0.20577459
age_at_wbc_ncnc_bld,age at measurement of wbc_ncnc_bld (years) (HARMONIZED),DATE OF WBC (DATE TO DAYS),61848,0.10932483
age_at_wbc_ncnc_bld,age at measurement of wbc_ncnc_bld (years) (HARMONIZED),AGE AT MEASUREMENT (MBCA2-DSRA4)/365.25),16681,0.0946777
basophil_ncnc_bld,"Count by volume, or number concentration (ncnc), of basophils in the blood (bld). (thousands / microliter) (HARMONIZED)","WHITE BLOOD COUNT, THOUSANDS PER MICROLITER",256039,0.5681163
basophil_ncnc_bld,"Count by volume, or number concentration (ncnc), of basophils in the blood (bld). (thousands / microliter) (HARMONIZED)",WHITE BLOOD CELL COUNT (X10/L),256004,0.18300885
basophil_ncnc_bld,"Count by volume, or number concentration (ncnc), of basophils in the blood (bld). (thousands / microliter) (HARMONIZED)",WHITE BLOOD CELL COUNT,255992,0.14928317
eosinophil_ncnc_bld,"Count by volume, or number concentration (ncnc), of eosinophils in the blood (bld). (thousands / microliter) (HARMONIZED)",EOSINOPHIL COUNT (X10^3/UL),82891,0.59819484
eosinophil_ncnc_bld,"Count by volume, or number concentration (ncnc), of eosinophils in the blood (bld). (thousands / microliter) (HARMONIZED)",CBC WITH DIFFERENTIAL CELL COUNT: EOSINOPHILS (ABSOLUTE COUNT) (0-9999/UL),43565,0.5467079
eosinophil_ncnc_bld,"Count by volume, or number concentration (ncnc), of eosinophils in the blood (bld). (thousands / microliter) (HARMONIZED)","TOTAL EOSINOPHIL COUNT, CELLS/MICROLITER",237142,0.26038945
hdl,Hdl cholesterol (mg/dl) (HARMONIZED),HDL-CHOLESTEROL (MG/DL),108809,0.65301627
hdl,Hdl cholesterol (mg/dl) (HARMONIZED),HDL-C CHOLESTEROL (MG/DL),108807,0.6237207
hdl,Hdl cholesterol (mg/dl) (HARMONIZED),TOTAL HDL CHOLESTEROL (MG/DL),237299,0.5718264
hematocrit_vfr_bld,"Measurement of hematocrit, the fraction of volume (vfr) of blood (bld) that is composed of red blood cells. (percentage) (HARMONIZED)",HEMATOCRIT (% RED BLOOD CELLS IN WHOLE BLOOD),110470,0.9404625
hematocrit_vfr_bld,"Measurement of hematocrit, the fraction of volume (vfr) of blood (bld) that is composed of red blood cells. (percentage) (HARMONIZED)",BLOOD ANALYSIS: HEMATOCRIT,34250,0.9206471
hematocrit_vfr_bld,"Measurement of hematocrit, the fraction of volume (vfr) of blood (bld) that is composed of red blood cells. (percentage) (HARMONIZED)",HEMATOCRIT (HCT) (%),110482,0.90397453
hemoglobin_mcnc_bld,"Measurement of mass per volume, or mass concentration (mcnc), of hemoglobin in the blood (bld). (g / dL = grams per deciliter) (HARMONIZED)","MEAN CORPUSCULAR HEMOGLOBIN CONCENTRATION, MCHC (G/DL)",143100,0.9418684
hemoglobin_mcnc_bld,"Measurement of mass per volume, or mass concentration (mcnc), of hemoglobin in the blood (bld). (g / dL = grams per deciliter) (HARMONIZED)",MEAN CORPUSCULAR HEMOGLOBIN CONCENTRATION (MCHC) (G/DL),143098,0.81626
hemoglobin_mcnc_bld,"Measurement of mass per volume, or mass concentration (mcnc), of hemoglobin in the blood (bld). (g / dL = grams per deciliter) (HARMONIZED)",MEAN CELLULAR HEMOGLOBIN CONCENTRATION(GM/DL),143077,0.755637
ldl,Ldl cholesterol (mg/dl) (HARMONIZED),LDL CHOLESTEROL CALCULATED (MG/DL),131935,0.91165274
ldl,Ldl cholesterol (mg/dl) (HARMONIZED),LDL CHOLESTEROL (MG/DL),131927,0.9092645
ldl,Ldl cholesterol (mg/dl) (HARMONIZED),LDL-CHOLESTEROL (MG/DL),131974,0.8929365
lymphocyte_ncnc_bld,"Count by volume, or number concentration (ncnc), of lymphocytes in the blood (bld). (thousands / microliter) (HARMONIZED)",LYMPHOCYTE COUNT (X10^3/UL),140055,0.12474515
lymphocyte_ncnc_bld,"Count by volume, or number concentration (ncnc), of lymphocytes in the blood (bld). (thousands / microliter) (HARMONIZED)",LYMPHOCYTE COUNT,140052,0.10266401
lymphocyte_ncnc_bld,"Count by volume, or number concentration (ncnc), of lymphocytes in the blood (bld). (thousands / microliter) (HARMONIZED)",LYMPHOCYTE COUNT (X10E9),140053,0.09186978
mch_entmass_rbc,"Measurement of the average mass (entmass) of hemoglobin per red blood cell(rbc), known as mean corpuscular hemoglobin (MCH). (pg = picogram) (HARMONIZED)",MEAN CORPUSCULAR HEMOGLOBIN (MCH) (PG),143090,0.9863632
mch_entmass_rbc,"Measurement of the average mass (entmass) of hemoglobin per red blood cell(rbc), known as mean corpuscular hemoglobin (MCH). (pg = picogram) (HARMONIZED)","MEAN CORPUSCULAR HEMOGLOBIN, MCH (PG)",143101,0.98538435
mch_entmass_rbc,"Measurement of the average mass (entmass) of hemoglobin per red blood cell(rbc), known as mean corpuscular hemoglobin (MCH). (pg = picogram) (HARMONIZED)","MEAN CORPUSCULAR HEMOGLOBIN CONCENTRATION, MCHC (G/DL)",143100,0.9481545
mchc_mcnc_rbc,"Measurement of the mass concentration (mcnc) of hemoglobin in a given volume of packed red blood cells (rbc), known as mean corpuscular hemoglobin concentration (MCHC). (g /dL = grams per deciliter) (HARMONIZED)",MCHC - MEAN CORPUSCULAR HEMOGLOBIN CONCENTRATION - NUMERIC VALUE G/DL,142510,0.98926485
mchc_mcnc_rbc,"Measurement of the mass concentration (mcnc) of hemoglobin in a given volume of packed red blood cells (rbc), known as mean corpuscular hemoglobin concentration (MCHC). (g /dL = grams per deciliter) (HARMONIZED)",CHCM (G/DL) - MEAN OF THE RBC HGB CONCENTRATION,45928,0.9854964
mchc_mcnc_rbc,"Measurement of the mass concentration (mcnc) of hemoglobin in a given volume of packed red blood cells (rbc), known as mean corpuscular hemoglobin concentration (MCHC). (g /dL = grams per deciliter) (HARMONIZED)","MEAN CORPUSCULAR HEMOGLOBIN CONCENTRATION, MCHC (G/DL)",143100,0.98141783
mcv_entvol_rbc,"Measurement of the mass concentration (mcnc) of hemoglobin in a given volume of packed red blood cells (rbc), known as mean corpuscular hemoglobin concentration (MCHC). (g /dL = grams per deciliter) (HARMONIZED)",MCHC - MEAN CORPUSCULAR HEMOGLOBIN CONCENTRATION - NUMERIC VALUE G/DL,142510,0.98926485
mcv_entvol_rbc,"Measurement of the mass concentration (mcnc) of hemoglobin in a given volume of packed red blood cells (rbc), known as mean corpuscular hemoglobin concentration (MCHC). (g /dL = grams per deciliter) (HARMONIZED)",CHCM (G/DL) - MEAN OF THE RBC HGB CONCENTRATION,45928,0.9854964
mcv_entvol_rbc,"Measurement of the mass concentration (mcnc) of hemoglobin in a given volume of packed red blood cells (rbc), known as mean corpuscular hemoglobin concentration (MCHC). (g /dL = grams per deciliter) (HARMONIZED)","MEAN CORPUSCULAR HEMOGLOBIN CONCENTRATION, MCHC (G/DL)",143100,0.98141783
