"Acronym","Study Name","Background","Conclusions","Conditions","Objectives","Subjects"
"walk-PHaSST","Treatment of Pulmonary Hypertension and Sickle Cell Disease With Sildenafil Therapy (walk-PHaSST)","Pulmonary arterial hypertension (PAH) is a progressive condition characterized by narrowing or stiffening pulmonary arterioles resulting in increased pulmonary blood pressure and reduced delivery of oxygenated blood to the body. It is a common complication of sickle cell disease and initially presents with the symptom of shortness of breath (dyspnea) on exertion.  As the condition worsens, other symptoms such as dizziness, lower extremity edema, and chest pain can develop.  The drug, sildenafil, works by relaxing blood vessels in the lungs which reduces pulmonary blood pressure and allows more oxygenated blood to circulate. Increased levels of oxygenated blood allows individuals with PAH to tolerate more activity, but guidelines for using sildenafil in patients with PAH and sickle cell disease were unavailable at the time of the walk-PHaSST trial.","There was no evidence that treatment with sildenafil impacted the six minute walk distance from baseline to week 16. In addition, treatment with sildenafil appeared to increase rates of hospitalization due to sickle cell disease pain.

Blood. 2011 Jul 28;118(4):855-64.","Anemia, Sickle Cell, Hypertension, Pulmonary","The Walk-PHaSST study explored whether sildenafil, a medication used to lessen symptoms of pulmonary hypertension, is also effective and safe for those with sickle cell disease who develop pulmonary hypertension.","Patients ages 12 to 70 with a diagnosis of sickle cell disease were eligible for the screening study. Exclusion criteria included pregnancy or lactation, stroke within the last 6 weeks, or a pulmonary embolism within the past 3 months. Participants with mild to severe pulmonary hypertension, defined as Doppler echocardiography peak tricuspid regurgitation velocity (TRV) of ≥ 2.7 m/s, and a six minute walk distance of 150-500 meters, were further eligible for the interventional trial. 720 subjects were screened, and of those, 37 were randomized to the sildenafil group and 37 were randomized to the placebo group."
"STAN","Study of Asthma and Nasal Steroids (STAN)","Poor asthma control is a significant cause of morbidity. Chronic sinonasal diseases, such as rhinitis and sinusitis, are commonly reported in asthma patients. A number of mechanisms link sinonasal disease and asthma, which may represent a common immune disorder affecting the whole respiratory system. However, while acute and severe sinonasal disease clearly warrant treatment directed towards disease in the upper airway, it was not clear at the time of the trial if treating chronic sinonasal disease improves asthma control. The purpose of this study was to determine the efficacy of treating chronic sinonasal disease in children and adults with inadequately controlled asthma, as is common medical practice.","There was no difference in the cACT or the ACT in those assigned to mometasone versus placebo. Treatment of chronic sinonasal disease with nasal corticosteroids for 24 weeks did not improve asthma control.

J Allergy Clin Immunol. 2015 Mar;135(3):701-9.e5. doi: 10.1016/j.jaci.2014.06.038. Epub 2014 Aug 28.","Asthma, Rhinitis, Sinusitis","To determine if treatment of chronic sinonasal disease with nasal corticosteroids improves asthma control in children and adults.","Eligible participants were at least 6 years old with a history of physician diagnosed asthma. Within two years of enrollment, participants must have had either a positive methacholine challenge, or documentation of at least 12% and 200 cc increase in FEV1 with bronchodilator. Participants also had poor asthma control, defined as a score of 19 or less on the Childhood Asthma Control Test (c-ACT) or Asthma Control Test (ACT), and chronic symptoms of rhinitis and sinusitis as measured by a mean score of 1 or greater on the Sino-Nasal Questionnaire.

A total of 237 adults and 151 children completed screening and were randomized. 199 participants were in the placebo group and 189 were in the mometasone group. 319 participants completed the study."
"THAPCA-OH","Therapeutic Hypothermia After Pediatric Cardiac Arrest (Out of Hospital) (THAPCA-OH)","Out-of-hospital cardiac arrests are associated with high rates of mortality and disability. Cardiac arrest is a sudden, unexpected loss of heart function that may result in injury to the brain from insufficient blood flow and oxygen.  In 2002, clinical trials involving adults reported that therapeutic hypothermia improved neurologic outcomes after out-of-hospital cardiac arrests.  International guidelines recommended therapeutic hypothermia for adults with similar clinical presentations to the 2002 trial participants. Conversely, observational studies have not associated therapeutic hypothermia with improved outcomes in children after a cardiac arrest. The THAPCA-OH trial was initiated due to the lack of published results from randomized trials on pediatric populations, and the significant differences that exist regarding cardiac arrest in pediatric and adult populations.  The THAPCA-OH trial compared the efficacy of therapeutic hypothermia and therapeutic normothermia in pediatric populations after out-of-hospital cardiac arrests by measuring 12-month survival rates with good neurobehavioral outcomes.","Among the patients who had a VABS-II score of at least 70 before cardiac arrest, there was no significant difference in the primary outcome between the hypothermia group and the normothermia group. Among all randomized patients, the change in the VABS-II score from baseline to 12 months was not significantly different and 1-year survival was similar between the groups. 

In comatose children who survived out-of-hospital cardiac arrest, therapeutic hypothermia, as compared with therapeutic normothermia, did not confer a significant benefit in survival with a good functional outcome at 1 year. 

N Engl J Med. 2015 May 14; 372(20):1898-908.","Cardiac Arrest","To evaluate the efficacy of therapeutic hypothermia compared to therapeutic normothermia at increasing 12 month survival rates and decreasing neurologic deficits in infants and children who experience an out-of-hospital cardiac arrest.","Patients were identified at 38 sites in the United States and Canada who met the inclusion criteria and who had not met the study exclusion.  Participants were required to be pediatric patients who experienced a cardiac arrest outside of a hospital that required chest compression for at least 2 minutes with return of circulation (ROSC/ROC) for 20 minutes and required continuous mechanical ventilation after ROC. Pediatric patient population was defined as being greater than 48 hours (correction for gestational age of at least 38 weeks) and less than 18 years of age.

In total, 295 participants underwent randomization at 36 sites. 155 participants were assigned to therapeutic hypothermia and 140 participants were assigned to therapeutic normothermia. 142 assigned to hypothermia and 128 assigned to normothermia had sufficient pre-arrest neurobehavioral function to be eligible for analysis of the primary efficacy endpoint, survival with VABS-II score of at least 70 at one year. At the completion of the study, 138 therapeutic hypothermia-assigned participants and 122 therapeutic normothermia-assigned participants eligible for the primary analysis had one-year VABS-II score data for evaluation of the primary endpoint.
 
Exclusions included some of the following criteria: Glasgow Coma Scale motor response of 5 or 6, terminal illness, pregnancy, drowning in ice water, contraindicated participation related to CNS, blood, skin, or severe trauma, randomization unattainable within 6 hours of ROSC, continuous infusion of epinephrine or norepinephrine at very high doses (≥2 ug/kg/minute) received immediately prior to randomization."
"SPIROMICS","Subpopulations and Intermediate Markers in COPD Study (SPIROMICS)","Chronic obstructive pulmonary disease (COPD) is a chronic, usually progressive, lung disease characterized by incompletely reversible airflow obstruction. At the time of the SPIROMICS study, COPD affected between 12,000,000 and 24,000,000 people in the US, with no proven medical therapies that significantly reduce mortality, other than supplemental oxygen and smoking cessation. COPD is also a highly heterogeneous disease. For example, cigarette smoke-induced chronic bronchitis and emphysema are subsumed within the COPD definition, despite histological and clinical differences. The recognition of COPD as a systemic disease that affects extra-pulmonary systems, including cardiovascular, sleep and muscle function, further complicates disease classification. Because of clinical and pathological heterogeneity, individual patient subtypes may benefit from unique therapeutic regimens. Thus the SPIROMICS study was initiated to facilitate the identification of important COPD phenotypes, based on disease pathophysiology and biomarkers that track key pathophysiologic processes, in order to focus research efforts and improve treatment options.","","Chronic Obstructive Pulmonary Disease, Chronic Bronchitis, Emphysema","The SPIROMICS study sought to identify homogeneous subgroups of COPD patients for targeted enrollment in future therapeutic clinical trials, as well as to identify and conduct preliminary validation of intermediate biological or clinical outcomes for use as clinical trial endpoints.","Eligible participants were between 40 and 80 years of age, and included never-smokers, current and former smokers without obstructive lung disease, and current and former smokers with COPD.  Never smoker was defined as less than 1 pack-year smoking history, and current or former smoker were defined as more than 20 pack-years smoking history. Lung function was also part of the eligibility criteria and was assessed by spirometry with or without inhaled bronchodilators. Non-smokers were required to have pre-bronchodilator FEV1 (forced expiratory volume in one second)/FVC (forced vital capacity) > 0.7 and FVC > LLN (lower limit of normal). Current or former smokers without obstructive lung disease were required to have post-bronchodilator FEV1/FVC > 0.7 and FVC > LLN. Current or former smokers with obstructive lung disease were required to have post-bronchodilator FEV1/FVC < 0.7 and FEV1 > 50% predicted.

Major exclusion criteria included non-COPD obstructive lung disease or a history of diseases or treatments likely to interfere with interpretation of study tests, BMI > 40 kg/m2 at baseline, hypersensitivity to or intolerance of the bronchodilators used in study assessments, and diagnosis of unstable cardiovascular disease."
"CAPTION","Collaboration Among Pharmacists and Physicians to Improve Outcomes Now (CAPTION)","Chronically elevated blood pressure and asthma are two conditions, when uncontrolled, can lead to serious complications, often requiring hospitalization and extensive medical interventions. If detected early and managed properly, hospital visits are reduced and medical costs are better contained. For a variety of reasons though, asthma and blood pressure control are not always achieved by community level, primary-care physicians making hospital visits unavoidable.
  
Previous studies indicate that when a pharmacist is part of a community physician practice, patients have better BP control than those whose primary care team does not include a pharmacist. This PPCM approach to patient care allows pharmacists to have a more active role by assisting with the screening, education, and medication management of hypertensive patients.","Although there was not a significant difference between the control and intervention groups within the initial 9-month period of the study, sustained blood pressure reduction was evident for minority and white participants in intervention groups even after interventions were discontinued. These findings suggest that the physician/pharmacist collaborative approach to blood pressure control is beneficial when implemented in primary care offices with greater racial diversity.

The primary outcome for all patients in the asthma study was also negative but for patients in the PPCM group who were identified as having uncontrolled asthma at baseline, a significant reduction in the number ED visits and hospitalizations was evident.","Asthma, Hypertension","Using a physician/pharmacist collaborative management (PPCM) approach to patient care, the CAPTION study investigated if blood pressure (BP) control of ethnically diverse and geographically distributed populations, could be better managed. In an asthma sub-study, researchers also investigated if using a PPCM approach could reduce the number of emergency department (ED) visits and hospitalizations.","Hypertension study:  625 participants were enrolled in the CAPTION study. Enrollees were male or female, 18 years of age or older, and had a diagnosis of hypertension. Fifty-four percent of participants were from racial/ethnic minority groups and 50% also had a diagnosis of diabetes mellitus or chronic kidney disease (CKD). To qualify, participants needed to have a systolic blood pressure (SBP) of greater than 140 mm Hg or a diastolic blood pressure (DBP) of greater than 90 mm Hg.  Participants with diabetes or CKD could qualify with a SBP of greater than 130 or a DBP greater than 80. Disqualifying factors included pregnancy, history of MI, stroke or unstable angina 6 months prior to enrollment, severe hypertension (SBP >200 or DBP > 114 mm Hg), or an ejection fraction (EF) < 35%.  Those with pulmonary HTN, sleep apnea, or cognitive impairment were also excluded from enrollment.

Asthma study: 126 male or female participants, ages 12 or older, with a diagnosis of asthma were enrolled in the study. Patients with severe asthma, who had a history of needing mechanical ventilation, or were likely to be managed by a pulmonologist were excluded. A diagnosis of chronic obstructive pulmonary disease (COPD), pregnancy, or cognitive impairment were additional disqualifiers."
"HFN-EXACT HF","Heart Failure Network (HFN) Xanthine Oxidase Inhibition for Hyperuricemic Heart Failure Patients (EXACT HF)","Morbidity and mortality rates for patients with heart failure are high, despite guideline-recommended therapy. Heart failure is characterized by an imbalance between left ventricular (LV) performance and myocardial energy consumption. There is a growing body of evidence that suggests oxidative stress contributes to ventricular and vascular remodeling, and disease progression in heart failure. Targeting potential source(s) of oxidative stress, e.g. Xanthine oxidase (XO), was the focus of recent clinical trials and epidemiological studies. Increased XO activity has been shown to lead to production of superoxide and uric acid (UA). Serum uric acid levels are included in heart failure risk scores, and hyperuricemia is present in about 25% of patients with heart failure. Hyperuricemia is associated with exercise intolerance, reduced survival, and worsening symptoms.  The EXACT-HF trial tested allopurinol, an inhibitor of XO, as a potential target therapy for hyperuricemic heart failure patients.","Participants who received allopurinol had significantly less serum uric acid laboratory levels after 24 weeks; however, no significant difference was observed in the primary and secondary endpoints between the allopurinol and placebo-treated patients. Therefore, in high-risk HF patients with reduced ejection fraction and elevated uric acid levels, xanthine oxidase inhibition with allopurinol failed to improve clinical status, exercise capacity, quality of life, or LVEF at 24 weeks.

Circulation. 2015 May 19; 131(20):1763-71","Heart Failure, Elevated Serum Uric Acid","To determine the effect of allopurinol after 24 weeks on a composite clinical endpoint that classifies subject’s clinical status (improved, worsened, unchanged) in patients with heart failure and high uric acid levels.","253 subjects were enrolled in the EXACT-HF study. 128 participants were randomized to the allopurinol arm, and of those participants, 119 completed the trial and 9 did not. 125 participants were randomized to the placebo arm, and of those participants, 116 completed the trial and 9 did not.

Adult patients from both sexes were eligible for the EXACT-HF study. The participants must have been diagnosed with NYHA class II-IV heart failure due to ischemic or non-ischemic cardiomyopathy, left ventricular ejection fraction (LVEF) ≤ 40% by echocardiography and heart failure symptoms for 3 months despite standard treatment, serum uric acid level ≥ 9.5 mg/dl, and at least one of the following additional markers of increased risk: hospitalization, ER visit or urgent clinic visit for heart failure requiring IV diuretics within the previous 12 months; left ventricular ejection fraction ≤ 25; B-type natriuretic peptide level > 250 pg/ml."
"HIT RADIO","Heparin-Induced Thrombocytopenia - Retrospective Analysis of Data on Incidence and Outcomes Study (HIT-RADIO)","Heparin-induced thrombocytopenia (HIT) is a common and often severe complication of heparin therapy. HIT is an immunologic drug reaction mediated by the IgG antibodies against the heparin-platelet factor 4 (PF4) complex. Thrombocytopenia is the cardinal, yet least worrisome, complication of HIT. The major complications are arterial and venous thrombi. Patients who are positive for thrombosis and a heparin-PF4 antibody test, with or without thrombocytopenia, categorize further as HIT-Thrombosis (HIT-T). Conversely, patients with no clinical evidence for thrombosis, but positive for thrombocytopenia and heparin-PF4 antibody test are clinically categorized as isolated HIT.

The incidence of HIT ranges from 0.3-5.0%, and is dependent on population, type and route of heparin used. The treatment of HIT-T with anticoagulation is well established, but the risks and treatment of isolated HIT are unclear. Recent ACCP (“CHEST”) current standard of care guidelines for isolated HIT is the institution of a direct thrombin inhibitor until the platelet count is greater than 100,000 (usually for 3-4 days), the overlap of the direct thrombin inhibitor with Coumadin for at least 5 days, and an unspecified total duration of anticoagulation (although 28 days from the onset of this complication is often recommended). These guidelines are based upon a sparse amount of data, with no randomized placebo-controlled studies, and few prospective studies. Unfortunately, treatment of isolated HIT often results in major increases in hospital length of stays, and financial obligations.

An observational study, HOT, Heparin-Induced  Thrombocytopenia Observational Thromboembolism Study, was designed to address the incidence of isolated HIT, and whether such patients had an increased rate of symptomatic or asymptomatic clots. The study was unsuccessful due to shortcomings in the number of eligible subjects identified with isolated HIT. Nevertheless, a large cohort of consecutive patients with a positive heparin-PF4 antibody test were identified. The HIT-RADIO study would be the largest multi-site retrospective study of this patient population in many years.  The intent of this study was to obtain large samples of positive heparin-PF4 antibody subjects to perform specific, descriptive, and hypothesis-generating outcomes.","The statistical analysis of the primary composite triple endpoint was measured by the mean time to occurrence.  The mean time to the primary endpoint for subjects with HIT-T was 17.5 days; for subjects with Isolated HIT was 27.8 days; and for subjects with No HIT was 31.4 days.  This difference in time to the primary outcome was found to be statistically significant when comparing subjects with HIT-T to those with No HIT, but was not significant when comparing subjects with Isolated HIT to those with No HIT.","Heparin Induced Thrombocytopenia","To determine the time to occurrence of a composite triple endpoint (death, limb amputation/gangrene, and new thrombosis) after a positive heparin PF-4 antibody test.","Subjects were a combination of participants from the previous HOT Study  and/or any patients at selected hospitals associated with the Transfusion Medicine/Hemostasis Clinical Trials Network. Approximately 500 patients were estimated to be enrolled in the study.

A positive heparin-PF4 antibody test occurred in 668 patients. Of those 668 patients, 442 were eligible subjects and 226 were excluded due to lack of recent heparin exposure. Eligible subjects were further divided into three reporting groups: HIT-T (71), Isolated HIT (284), and No HIT (87).

In order to be included in this study, the medical record had to be available for the hospital admission when the positive heparin-PF4 antibody test was obtained. No exclusion criteria were recorded."
"BMT CTN-0603","Blood and Marrow Clinical Trials Network (BMT CTN) Bone Marrow Transplant From Partially Matched Donors and Nonmyeloablative Conditioning for Blood Cancers (0603)","Individuals with aggressive forms of the blood cancers leukemia and lymphoma typically receive targeted therapy, chemotherapy, and radiation as part of their treatment options. When these and other therapies have been exhausted, it is recommended that the patient receive a bone marrow or cord blood transplant. A first degree relative, if available, is likely to be the best candidate as a bone marrow donor if the human leukocyte antigen (HLA) markers are a sufficient match.

For recipients who find a suitable match, high doses of chemotherapy are administered preemptively in an attempt to reduce the likelihood of transplant rejection or graft-versus-host disease (GVHD). Often though, individuals greater than 60 years of age or with multiple medical conditions are disqualified from the regimen due to their inability to withstand the chemotherapeutic agents’ toxicity levels.

The BMT CTN 0603, or Haplo-marrow trial, researched the effectiveness of a type of bone marrow transplant called reduced intensity conditioning (RIC) or nonmyeloablative transplant for individuals who were only a partial or haploidentical match with a family member. Specifically, recipients were given lower doses of chemotherapy prior to receiving the transplant and also received a smaller quantity of transplanted bone marrow than is typically administered. 

The BMT CTN 0603 study was one of two parallel multicenter phase 2 studies; the other of which was <a href=""https://biolincc.nhlbi.nih.gov/studies/bmt_0604/"">BMT CTN 0604</a>, which used double umbilical cord blood transplantation. The goal of these studies was to generate pilot multicenter data to support a future phase 3 randomized clinical trial.","Of the 50 participants in the BMT CTN 0603 study, 83.7% survived to the 6-month benchmark and 62.0% survived to the 1-year benchmark. Neutrophil recovery at day +56 was 96%, platelet recovery at day +100 was 98%, treatment related mortality was 4% at 6 months, and there was one case of primary graft failure.

Outcomes from both clinical trials suggest that the rates of survivorship are comparable to those where there was a matched unrelated donor.

Brunstein CG, Fuchs EJ, Carter SL, et al. Alternative donor transplantation after reduced intensity conditioning: results of parallel phase 2 trials using partially HLA-mismatched related bone marrow or unrelated double umbilical cord blood grafts. Blood. 2011;118(2):282-288. doi:10.1182/blood-2011-03-344853.","Leukemia, Myelocytic, Acute, Lymphoma, Precursor B-Cell Lymphoblastic Leukemia-Lymphoma, Burkitt Lymphoma, Lymphoma, B-Cell, Lymphoma, Follicular, Lymphoma, Large B-Cell, Diffuse","Using the reduced intensity conditioning (RIC) transplant technique, this study evaluated survivorship of recipients who received a bone marrow transplant from a related and partially matched donor.","A total of 50 individuals participated in and completed the BMT CTN 0603 study. Eligibility criteria included a diagnosis of acute leukemia or lymphoma and an age of less than 70 years. Those less than 22 years, were potentially eligible if they were ineligible for the BMT CTN #0501 trial. Participants were also required to have a partial tissue match with a first-degree family member who was at least 18 years of age. Other inclusion criteria included a left ventricular ejection fraction of at least 35% and specific liver, kidney, pulmonary, and physical functioning scores within acceptable ranges.

Those who were pregnant, breastfeeding, HIV positive or had a suitable donor were excluded."
"SOYA","The Study of Soy Isoflavones in Asthma (SOYA)","The prevalence of asthma is determined by multiple environmental and genetic factors, and over the last several decades, both the prevalence and severity of asthma have increased. Specific causes remain unknown, but diet is one of the environmental factors associated with increased prevalence and severity.

Previous studies had shown that those who consume soy isoflavones have better lung function compared to those who do not. The study focused on two particular iosflavones, genistein and daidzein, based on the strong preclinical and epidemiological data that supported the prediction of beneficial dietary effects for asthma patients. At the cellular level, genistein exerts antioxidant effects that are equal to or greater than those of vitamin C. Prior to the clinical trial, recent in vitro results showed that genistein inhibits synthesis of human peripheral blood eosinophil cysteinyl leukotrienes via inhibition of 5-lipoxygenase. Synthesis of the eosinophil cysteinyl leukotrienes is a key pathways that may contribute to asthma severity.","Participants who received the soy isoflavone supplement exhibited an increase in mean plasma genistein levels; however, no clinically significant improvement was observed in the primary end point of FEV1 at 24 weeks post-randomization between participants treated with soy isoflavone supplement and placebo.

JAMA. 2015 May 26;313(20):2033-43","Asthma","To determine whether participants with poorly controlled asthma have improved asthma control and lung capacity when prescribed a soy isoflavone supplement versus a placebo.","Eligible participants were over the age of 12, of either gender, and were non-smokers for 6 months or longer with a less than 10 pack-year smoking history. The SOYA trial had 193 participants randomized into the placebo and soy isoflavone arms for a total of 386 participants. 179 participants in the placebo arm and 166 participants in the soy isoflavone arm completed the trial, which was defined as having an FEV1 measurement at 24 weeks.

Participants were included if they had been diagnosed by a physician with asthma, were currently prescribed daily controller asthma medication, or had a FEV1 equal or greater than 50% predicted pre-bronchodilator and/or at least 12% increase in FEV1 15-3 minutes after inhaling 2-4 puffs of albuterol or positive methacholine challenge (20% fall in FEV1 at less than 8 mg/mL) with either parameter available from the previous two years. Participants with poor asthma control were included if they met at least one of the following: a score of 1.5 or greater on the Juniper Asthma Control Questionnaire, use of beta-agonist for asthma symptoms two or more times per week, nocturnal awakening with asthma symptoms more than once per week, and/or two or more episodes of asthma symptoms in the past 12 months with each requiring at least one of the following: emergency department visit, unscheduled physician visit, prednisone course, and/or hospitalization.

Participants were excluded from the trial for potential non-adherence or allergy to treatment, not meeting FEV inclusion criteria, use of concurrent and/or prior (<6 weeks) trial medications, and other major chronic illnesses that may interfere with participation based on the judgement of the study physician.  Changes in diet, a body weight of less than 77 pounds (35kg), a high intake of soy or soy-enriched foods 1 or more times per week, recent upper respiratory infections (<2 weeks) and asthma exacerbations (<6 weeks) were additional exclusionary criteria."
"REDS II-Chagas","Retrovirus Epidemiology Donor Study-II (REDS II) Natural History of Disease and Laboratory Findings in Trypanosoma Cruzi Antibody-Positive Brazilian Blood Donors (Chagas)","Since 1989, the NHLBI has sponsored epidemiologic, laboratory, and survey research in the field of blood supply safety and transfusion research through the Retrovirus Epidemiology Donor Study (REDS) program. In 2006, the program initiated international components in Brazil and China to extend the scope of blood safety research as part of the REDS-II program. In Brazil, Chagas disease was one of the public health concerns addressed by the REDS-II program. Chagas disease is caused by the parasite <i>Trypanosoma cruzi</i>. <i>T cruzi</i> transmits via hematophagous triatomine insects (“kissing bugs”), but can transmit vertically during pregnancy, peripartum, blood transfusion, or organ transplantation.

In the endemic regions of Brazil, the majority of patients with acute Chagas disease were asymptomatic and most symptomatic patients presented with only minor clinical manifestations. The natural history of Chagas was poorly understood and therefore, counseling of asymptomatic seropositive patients was difficult. Furthering this difficulty was a lack of clinical predictors for severe clinical presentation of Chagas disease that could guide early treatment. As a result, cardiologists in Brazil refrained from treating asymptomatic patients due to the combination of uncertain prognosis and the toxicity of antitrypanosomal drugs.

This study presents the results from a large, retrospective cohort study with an average follow up of eleven years. The purpose of this study was to characterize the natural history of clinical Chagas disease, measure disease penetrance, and determine prognostic factors of Chagas cardiomyopathy among asymptomatic <i>Trypanosoma cruzi</i>-infected persons identified 10 years ago.","Among the 499 ,<i>T cruzi</i> seropositive subjects, 120 (24%) had definite Chagas cardiomyopathy, and among the 488 <i>T cruzi</i> seronegative subjects, 24 (5%) had cardiomyopathy, for an incidence rate of 1.85 per 100 person-years attributable to <i>T cruzi</i> infection. The false-positive diagnoses of Chagas-like cardiomyopathy among 5% of the <i>T cruzi</i> seronegative subjects illustrate the difficulty in distinguishing Chagas from other cardiac diseases, which can lead to overestimation of incidence in uncontrolled seropositive cohorts.  Potential prognostic factors for Chagas cardiomyopathy, if confirmed in other studies, include male sex, a history of ECG abnormalities, and S3 gallop.

Sabino EC, Ribeiro AL, Salemi VMC, et al. Ten-Year Incidence of Chagas Cardiomyopathy Among Asymptomatic Trypanosoma cruzi–Seropositive Former Blood Donors. Circulation. 2013;127(10):1105-1115. doi:10.1161/CIRCULATIONAHA.112.123612.","Blood Transfusion, Blood Donors","There were three specific clinical aims for the REDS-II Chagas study in Brazil: characterize the natural history of clinical Chagas disease in <i>T cruzi</i> seropositive blood donors; determine the persistence of <i>T cruzi</i> antibody reactivity over time; and determine the rate of “serosilent” <i>T cruzi</i> infection in seronegative populations from endemic regions.","There were three groups enrolled in the study: seropositive blood donors, seronegative blood donors, and validation case studies.

Seropositive and seronegative donors were obtained from two blood donations centers in Brazil: Sao Paulo and Montes Claros. Seropositive blood donors were screened between 1998 and 2002 and confirmed positive for the <i>T cruzi</i> antibody at the time of donation. In Sao Paulo, screenings for the <i>T cruzi</i> antibody consisted of three (3) serological methods: ELISA, hemaglutination, and immunofluorescence. Only donors reactive to all three (3) assays at the time of donation were considered eligible for the study. In Montes Claros, ELISA and hemaglutination assays were utilized to screen donors. Only donors reactive to both assays at the time of donation were considered eligible for the study. Seronegative donors were matched to each seropositive donor by year of index donation, site, age, and sex.

There were 511 seropositive and 504 seronegative blood donors enrolled in the study. Of these, a total of 499 seropositive and 488 seronegative blood donors had complete data and were submitted for the expert panel review process. Among the 499 seropositive donors with complete data, 315 were referred to the expert panel and 120 were classified as Chagas cardiomyopathy. Among the 488 seronegative donors with complete data, 232 were referred to the expert panel and 24 were classified as having Chagas cardiomyopathy.

In addition, 101 previously diagnosed cases of Chagas cardiomyopathy from the Heart Institute of the University of Sao Paulo Medical School were included in the study to assess the sensitivity of cardiac outcomes measurements. The inclusion criteria for validation cases were: physician diagnosis of Chagas cardiomyopathy, no previous treatment of benznidazole, and no comorbidity (diabetes, hypertension, or renal failure).  Of these cases, 101 were referred to the expert panel and 99 were classified as having Chagas cardiomyopathy by the expert panel."
"CPAP","Effect of Positive Airway Pressure on Reducing Airway Reactivity in Patients With Asthma (CPAP)","Asthma is characterized by an increase in airways smooth muscle constriction to non-specific agonists and hyper-responsiveness to stimulation of airway constriction. Current therapies, such as inhaled corticosteroids (ICS) and long-acting bronchodilators (beta-agonists), address inflammation and increased airway tone. Limitation of current therapies are cost, adherence, and concerns about long-term use.

Airway smooth muscle tissue requires intermittent stretching-dilation and constriction. In the absence of dilation, airways smooth muscle tissue may alter its contractile properties to continue to perform its role. This is supported by the maintenance of elevated end-expiratory lung volume (FRC) through tonic contraction of respiratory muscles in asthmatics. FRC is reduced during sleep resulting in decreased dilation of airways from lack of deep inspiration. Low FRC may account for some unexplained characteristics of asthma, notably the worsening of symptoms in the morning, and the inability of deep inspiration to dilate airways and reverse bronchoconstriction.

Providing a conceptual basis for a novel treatment of asthma that does not rely on pharmacologic modulation of inflammation or bronchoconstriction was the focus of this trial. Continuous Positive Airway Pressure (CPAP) increases stretching of the airways during sleep and prevents a fall in FRC that could lead to closure of airways in dependent regions of the lung. CPAP has been widely and safely used for the treatment of sleep apnea and demonstrated to be effective in reducing airway activity in previous trials on animals and humans. Therefore an imperative of the trial was to determine whether the effect of CPAP could be reproduced and sustained for a longer time.","Adherence to nocturnal CPAP was low for all groups, with the sham group having the best adherence. All treatment arms experienced significant improvement in the primary endpoint, however the improvements between the active and sham treatment arms were not found to be statistically significant. Therefore there was no evidence to support positive pressure as being effective for reducing airway reactivity in people with well-controlled asthma.

Holbrook JT, Sugar EA, Brown RH, Drye LT, Irvin CG, Schwartz AR, Tepper RS, Wise RA, Yasin RZ, Busk MF; American Lung Association Airways Clinical Research Centers. Effect of continuous positive airway pressure on airway reactivity in asthma: a randomized, sham-controlled clinical trial. Ann Am Thorac Soc 2016;13:1940–1950.","Asthma","To evaluate whether 12 weeks of nocturnal CPAP use decreased the concentration of methacholine necessary to reduce FEV<sub>1</sub> by 20% (PC<sub>20</sub>) in asthma patients.","194 participants were included in the primary outcome assessment. Of these, 66 participants were randomized into the sham treatment arm (<1m H<sub>2</sub>O), 69 participants were randomized into the 5cm H<sub>2</sub>O arm, and 59 participants were randomized into the 10cm H<sub>2</sub>O arm.

Eligible subjects for this study were men and women aged 15 to 60 years old at baseline. Subjects were included if they had stable, physician-diagnosed asthma, and were prescribed asthma medication for at least the past 12 months. Women who were pregnant or lactating were not eligible for the study, and those of child-bearing age agreed to practice birth control methods for the duration of the study. Participants were required to have the following results at the baseline visit: a pre-bronchodilator FEV<sub>1</sub> ≥ 75% and methacholine bronchial challenge with PC<sub>20</sub> ≤ 8 mg/mL for FEV<sub>1</sub>.

Subjects with a BMI ≥ 35 or those weighing less than 66 lbs. at baseline were excluded. Chronic diseases, sleep apnea and/or disorders, prior use of CPAP, and subjects with acute respiratory illness or those who received systemic corticosteroid therapy were excluded. Subjects with an intolerance to, or with contraindication(s) to methacholine were excluded. Members from the same household were not eligible to participate in the study at the same time."
